"ipc-image src","ipc-lockup-overlay href","ipc-signpost__text","ipc-title-link-wrapper href","ipc-title__text","sc-99e9da6e-6","sc-99e9da6e-6 2","sc-99e9da6e-6 3","ipc-rating-star--rating","ipc-rating-star--voteCount"
"https://m.media-amazon.com/images/M/MV5BMTkxNGFlNDktZmJkNC00MDdhLTg0MTEtZjZiYWI3MGE5NWIwXkEyXkFqcGc@._V1_QL75_UX90_CR0,3,90,133_.jpg","https://www.imdb.com/title/tt0080684/?ref_=chttp_i_15","#15","https://www.imdb.com/title/tt0080684/?ref_=chttp_t_15","Star Wars: Episode V - The Empire Strikes Back","1980","2h 4m","PG","8.7","(1.5M)"
"https://m.media-amazon.com/images/M/MV5BN2NmN2VhMTQtMDNiOS00NDlhLTliMjgtODE2ZTY0ODQyNDRhXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg","https://www.imdb.com/title/tt0133093/?ref_=chttp_i_16","#16","https://www.imdb.com/title/tt0133093/?ref_=chttp_t_16","The Matrix","1999","2h 16m","R","8.7","(2.2M)"
"https://m.media-amazon.com/images/M/MV5BN2E5NzI2ZGMtY2VjNi00YTRjLWI1MDUtZGY5OWU1MWJjZjRjXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg","https://www.imdb.com/title/tt0099685/?ref_=chttp_i_17","#17","https://www.imdb.com/title/tt0099685/?ref_=chttp_t_17","GoodFellas","1990","2h 25m","R","8.7","(1.4M)"
"https://m.media-amazon.com/images/M/MV5BYzdjMDAxZGItMjI2My00ODA1LTlkNzItOWFjMDU5ZDJlYWY3XkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg","https://www.imdb.com/title/tt0816692/?ref_=chttp_i_18","#18","https://www.imdb.com/title/tt0816692/?ref_=chttp_t_18","Interstellar","2014","2h 49m","PG-13","8.7","(2.5M)"
"https://m.media-amazon.com/images/M/MV5BYjBkMjgzMzYtNzRiMS00NDc3LWE4YTUtZjYxYjZhNjNhYzhhXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg","https://www.imdb.com/title/tt0073486/?ref_=chttp_i_19","#19","https://www.imdb.com/title/tt0073486/?ref_=chttp_t_19","One Flew Over the Cuckoo's Nest","1975","2h 13m","R","8.6","(1.2M)"
"https://m.media-amazon.com/images/M/MV5BY2IzNzMxZjctZjUxZi00YzAxLTk3ZjMtODFjODdhMDU5NDM1XkEyXkFqcGc@._V1_QL75_UX90_CR0,4,90,133_.jpg","https://www.imdb.com/title/tt0114369/?ref_=chttp_i_20","#20","https://www.imdb.com/title/tt0114369/?ref_=chttp_t_20","Seven","1995","2h 7m","R","8.6","(2M)"
"https://m.media-amazon.com/images/M/MV5BMDM4OWFhYjEtNTE5Yy00NjcyLTg5N2UtZDQwNDZlYjlmNDU5XkEyXkFqcGc@._V1_QL75_UY133_CR1,0,90,133_.jpg","https://www.imdb.com/title/tt0038650/?ref_=chttp_i_21","#21","https://www.imdb.com/title/tt0038650/?ref_=chttp_t_21","It's a Wonderful Life","1946","2h 10m","PG","8.6","(554K)"
"https://m.media-amazon.com/images/M/MV5BNDdhOGJhYzctYzYwZC00YmI2LWI0MjctYjg4ODdlMDExYjBlXkEyXkFqcGc@._V1_QL75_UY133_CR0,0,90,133_.jpg","https://www.imdb.com/title/tt0102926/?ref_=chttp_i_22","#22","https://www.imdb.com/title/tt0102926/?ref_=chttp_t_22","The Silence of the Lambs","1991","1h 58m","R","8.6","(1.7M)"
"https://m.media-amazon.com/images/M/MV5BZjliMWExOTMtZDQ3ZS00NWU3LWIyN2EtMjllNzk3ZTNlYzg4XkEyXkFqcGc@._V1_QL75_UY133_CR2,0,90,133_.jpg","https://www.imdb.com/title/tt0047478/?ref_=chttp_i_23","#23","https://www.imdb.com/title/tt0047478/?ref_=chttp_t_23","Seven Samurai","1954","3h 27m","Not Rated","8.6","(401K)"
"https://m.media-amazon.com/images/M/MV5BZGZhZGQ1ZWUtZTZjYS00MDJhLWFkYjctN2ZlYjE5NWYwZDM2XkEyXkFqcGc@._V1_QL75_UY133_CR0,0,90,133_.jpg","https://www.imdb.com/title/tt0120815/?ref_=chttp_i_24","#24","https://www.imdb.com/title/tt0120815/?ref_=chttp_t_24","Saving Private Ryan","1998","2h 49m","R","8.6","(1.6M)"
"https://m.media-amazon.com/images/M/MV5BMTUxMzQyNjA5MF5BMl5BanBnXkFtZTYwOTU2NTY3._V1_QL75_UX90_CR0,0,90,133_.jpg","https://www.imdb.com/title/tt0120689/?ref_=chttp_i_25","#25","https://www.imdb.com/title/tt0120689/?ref_=chttp_t_25","The Green Mile","1999","3h 9m","R","8.6","(1.6M)"
"https://m.media-amazon.com/images/M/MV5BYjY4NGI5OTUtY2ZlZS00Zjk4LTk5N2MtN2JmYWVjNGNmMGRlXkEyXkFqcGc@._V1_QL75_UY133_CR0,0,90,133_.jpg","https://www.imdb.com/title/tt0317248/?ref_=chttp_i_26","#26","https://www.imdb.com/title/tt0317248/?ref_=chttp_t_26","City of God","2002","2h 10m","R","8.6","(868K)"
"https://m.media-amazon.com/images/M/MV5BZTBhOGYzZjQtYzE0Mi00MGIwLWE0MWYtNzMxNTM2OTFkM2NjXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg","https://www.imdb.com/title/tt0118799/?ref_=chttp_i_27","#27","https://www.imdb.com/title/tt0118799/?ref_=chttp_t_27","Life Is Beautiful","1997","1h 56m","PG-13","8.6","(810K)"
