Company Name,Industry/Sector,Company Website,Company Email,Company Phone,Company LinkedIn Page,Location,HR Contact Name,HR Designation,HR Email,HR Phone,HR LinkedIn Profile
AbbVie,Technology,,,,https://www.linkedin.com/company/abbvie,,,,,,
Atlas Copco,Technology,,,,https://www.linkedin.com/company/atlas-copco,,,,,,
Allied Bank Limited,Technology,,,,https://www.linkedin.com/company/allied-bank-limited,,,,,,
